#SampleID	Replicate	Age	Diet	Location	Sort	SampleType	Age_Diet	AgeBinary	PCR
1-4EE3-jpr	R1	Week7	EE	jej	Pre	Presort	Week7EE	Old	Plate2
1-4EE4-jA	R1	Week7	EE	jej	IgAneg	Sorted	Week7EE	Old	Plate2
1-4EE4-jAp	R1	Week7	EE	jej	IgApos	Sorted	Week7EE	Old	Plate2
1-4EE4-jpr	R1	Week7	EE	jej	Pre	Presort	Week7EE	Old	Plate2
1-4M1-fA	R1	Week7	MAL	feces	IgAneg	Sorted	Week7MAL	Old	Plate2
1-4M1-fAp	R1	Week7	MAL	feces	IgApos	Sorted	Week7MAL	Old	Plate2
1-4M1-fpr	R1	Week7	MAL	feces	Pre	Presort	Week7MAL	Old	Plate3
1-4M1-jA	R1	Week7	MAL	jej	IgAneg	Sorted	Week7MAL	Old	Plate3
1-4M1-jAp	R1	Week7	MAL	jej	IgApos	Sorted	Week7MAL	Old	Plate3
1-4M1-jpr	R1	Week7	MAL	jej	Pre	Presort	Week7MAL	Old	Plate3
1-4M2-fA	R1	Week7	MAL	feces	IgAneg	Sorted	Week7MAL	Old	Plate3
1-4M2-fAp	R1	Week7	MAL	feces	IgApos	Sorted	Week7MAL	Old	Plate3
1-4M2-fpr	R1	Week7	MAL	feces	Pre	Presort	Week7MAL	Old	Plate3
1-4M2-jA	R1	Week7	MAL	jej	IgAneg	Sorted	Week7MAL	Old	Plate3
1-4M2-jAp	R1	Week7	MAL	jej	IgApos	Sorted	Week7MAL	Old	Plate3
1-4M2-jpr	R1	Week7	MAL	jej	Pre	Presort	Week7MAL	Old	Plate3
1-4M3-fA	R1	Week7	MAL	feces	IgAneg	Sorted	Week7MAL	Old	Plate3
1-4M3-fAp	R1	Week7	MAL	feces	IgApos	Sorted	Week7MAL	Old	Plate3
1-4M3-fpr	R1	Week7	MAL	feces	Pre	Presort	Week7MAL	Old	Plate3
1-4M3-jA	R1	Week7	MAL	jej	IgAneg	Sorted	Week7MAL	Old	Plate3
1-4M3-jAp	R1	Week7	MAL	jej	IgApos	Sorted	Week7MAL	Old	Plate3
1-4M3-jpr	R1	Week7	MAL	jej	Pre	Presort	Week7MAL	Old	Plate3
1-4M4-fA	R1	Week7	MAL	feces	IgAneg	Sorted	Week7MAL	Old	Plate3
1-4M4-fAp	R1	Week7	MAL	feces	IgApos	Sorted	Week7MAL	Old	Plate3
1-4M4-fpr	R1	Week7	MAL	feces	Pre	Presort	Week7MAL	Old	Plate3
1-4M4-jA	R1	Week7	MAL	jej	IgAneg	Sorted	Week7MAL	Old	Plate3
1-4M4-jAp	R1	Week7	MAL	jej	IgApos	Sorted	Week7MAL	Old	Plate3
1-4M4-jpr	R1	Week7	MAL	jej	Pre	Presort	Week7MAL	Old	Plate3
2-0C1-fA	R2	Week3	CON	feces	IgAneg	Sorted	Week3CON	Young	Plate1
2-0C1-fAp	R2	Week3	CON	feces	IgApos	Sorted	Week3CON	Young	Plate1
2-0C1-fG	R2	Week3	CON	feces	IgGneg	Sorted	Week3CON	Young	Plate1
2-0C1-fGp	R2	Week3	CON	feces	IgGpos	Sorted	Week3CON	Young	Plate1
2-0C1-fpr	R2	Week3	CON	feces	Pre	Presort	Week3CON	Young	Plate1
2-0C3-fA	R2	Week3	CON	feces	IgAneg	Sorted	Week3CON	Young	Plate1
2-0C3-fAp	R2	Week3	CON	feces	IgApos	Sorted	Week3CON	Young	Plate1
2-0C3-fG	R2	Week3	CON	feces	IgGneg	Sorted	Week3CON	Young	Plate1
2-0C3-fGp	R2	Week3	CON	feces	IgGpos	Sorted	Week3CON	Young	Plate1
2-0C3-fpr	R2	Week3	CON	feces	Pre	Presort	Week3CON	Young	Plate1
2-0C4-fA	R2	Week3	CON	feces	IgAneg	Sorted	Week3CON	Young	Plate1
2-0C4-fAp	R2	Week3	CON	feces	IgApos	Sorted	Week3CON	Young	Plate1
2-0C4-fG	R2	Week3	CON	feces	IgGneg	Sorted	Week3CON	Young	Plate1
2-0C4-fGp	R2	Week3	CON	feces	IgGpos	Sorted	Week3CON	Young	Plate1
2-0C4-fpr	R2	Week3	CON	feces	Pre	Presort	Week3CON	Young	Plate1
2-0C5-fA	R2	Week3	CON	feces	IgAneg	Sorted	Week3CON	Young	Plate1
2-0C5-fAp	R2	Week3	CON	feces	IgApos	Sorted	Week3CON	Young	Plate1
2-0C5-fG	R2	Week3	CON	feces	IgGneg	Sorted	Week3CON	Young	Plate1
2-0C5-fGp	R2	Week3	CON	feces	IgGpos	Sorted	Week3CON	Young	Plate1
2-0C5-fpr	R2	Week3	CON	feces	Pre	Presort	Week3CON	Young	Plate1
2-0M1-fA	R2	Week3	MAL	feces	IgAneg	Sorted	Week3MAL	Young	Plate1
2-0M1-fAp	R2	Week3	MAL	feces	IgApos	Sorted	Week3MAL	Young	Plate1
2-0M1-fG	R2	Week3	MAL	feces	IgGneg	Sorted	Week3MAL	Young	Plate1
2-0M1-fGp	R2	Week3	MAL	feces	IgGpos	Sorted	Week3MAL	Young	Plate1
2-0M1-fpr	R2	Week3	MAL	feces	Pre	Presort	Week3MAL	Young	Plate1
2-0M2-fA	R2	Week3	MAL	feces	IgAneg	Sorted	Week3MAL	Young	Plate1
2-0M2-fAp	R2	Week3	MAL	feces	IgApos	Sorted	Week3MAL	Young	Plate1
2-0M2-fG	R2	Week3	MAL	feces	IgGneg	Sorted	Week3MAL	Young	Plate1
2-0M2-fGp	R2	Week3	MAL	feces	IgGpos	Sorted	Week3MAL	Young	Plate1
2-0M2-fpr	R2	Week3	MAL	feces	Pre	Presort	Week3MAL	Young	Plate1
2-0M3-fA	R2	Week3	MAL	feces	IgAneg	Sorted	Week3MAL	Young	Plate1
2-0M3-fAp	R2	Week3	MAL	feces	IgApos	Sorted	Week3MAL	Young	Plate1
2-0M3-fG	R2	Week3	MAL	feces	IgGneg	Sorted	Week3MAL	Young	Plate1
2-0M3-fGp	R2	Week3	MAL	feces	IgGpos	Sorted	Week3MAL	Young	Plate1
